filename,axial_samples,lateral_samples,initial_radius,final_radius,initial_angle,final_angle,f0,timestamp_id,datapath,probe,scanner,target,f0_mhz,span_deg,focus_cm,v,harm
sc_fetal_ch.20160912124430_sum_52.mat,576,51,251.27718993928883,827.2771899392887,-0.13962634015954636,0.13962634015954636,4006938.421509106,20160912124430,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/091216/FS34/SWIF_AData_20160912124430/sum/iqdat52.mat,6c1,siemens sc2000,fetal,4.0,16.0,6.0,,1
sc_fetal_ch.20160912123950_sum_25.mat,576,51,251.27718993928883,827.2771899392887,-0.13962634015954636,0.13962634015954636,4006938.421509106,20160912123950,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/091216/FS34/SWIF_AData_20160912123950/sum/iqdat25.mat,6c1,siemens sc2000,fetal,4.0,16.0,6.0,,1
sc_fetal_ch.20160902152038_8.mat,512,121,219.9163422878492,731.9163422878491,-0.3490658503988659,0.3490658503988659,3506849.315068493,20160902152038,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/090216/FS27/SWIF_AData_20160902152038/iqdat8.mat,6c1,siemens sc2000,fetal,3.5,40.0,6.0,,0
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161215102301_6.mat,1024,256,510.8571428571429,1534.857142857143,-0.6073603630065918,0.6073603630065918,3636400.0,20161215102301,/getlab/wjl11/study_high_mi_yd17/volunteer_liver/v6/4c1/bmode/uri_SpV5192_VpF512_FpA7_20161215102301.rfd,4c1,siemens s2000,liver,3.6,69.59837088762269,8.0,,1
sc_fetal_ch.20160902163554_13.mat,512,121,219.9163422878492,731.9163422878491,-0.3490658503988659,0.3490658503988659,3506849.315068493,20160902163554,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/090216/FS29/SWIF_AData_20160902163554/iqdat13.mat,6c1,siemens sc2000,fetal,3.5,40.0,6.0,,0
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161216095031_2.mat,1296,256,918.8555194805116,2214.8555194805112,-0.5773020386695862,0.5761761963367462,2666600.0,20161216095031,/getlab/wjl11/study_high_mi_yd17/volunteer_liver/v7/dax/mmode/uri_SpV10388_VpF168_FpA8_20161216095026.rfd,dax,siemens s2000,liver,2.7,66.0894346260622,11.0,,1
sc_fetal_ch.20160909155513_sum_3.mat,576,51,251.27718993928883,827.2771899392887,-0.13962634015954636,0.13962634015954636,4006938.421509106,20160909155513,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/090916/FS31/SWIF_AData_20160909155513/sum/iqdat3.mat,6c1,siemens sc2000,fetal,4.0,16.0,6.0,,1
sc_fetal_ch.20160912152130_diff_44.mat,576,51,251.27718993928883,827.2771899392887,-0.13962634015954636,0.13962634015954636,2003469.210754553,20160912152130,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/091216/FS36/SWIF_AData_20160912152130/diff/iqdat44.mat,6c1,siemens sc2000,fetal,2.0,16.0,6.0,,0
sc_fetal_ch.20160912110015_31.mat,512,121,219.9163422878492,731.9163422878491,-0.3490658503988659,0.3490658503988659,3506849.315068493,20160912110015,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/091216/FS33/SWIF_AData_20160912110015/iqdat31.mat,6c1,siemens sc2000,fetal,3.5,40.0,6.0,,0
sc_fetal_ch.20160902163652_sum_5.mat,576,51,251.27718993928883,827.2771899392887,-0.13962634015954636,0.13962634015954636,4006938.421509106,20160902163652,/getlab/fetal/clinicaldata/fetal_083116_091316_processed/090216/FS29/SWIF_AData_20160902163652/sum/iqdat5.mat,6c1,siemens sc2000,fetal,4.0,16.0,6.0,,1
